category,image_auroc_mean,image_auroc_std,image_auroc_min,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,pixel_auroc_mean,pixel_auroc_std,pixel_auroc_min,pro_mean,pro_std,pro_min
bottle,0.9994350282485875,0.0007989907132051259,0.9983050847457627,0.8785310734463276,0.08370357282502291,0.7627118644067796,0.9902380964418,0.0004873760286165684,0.9896624969132273,0.8923168716919798,0.003594167327512548,0.8885362175460696
cable,0.9488636363636365,0.006884369881454884,0.9402429467084639,0.7613636363636364,0.07721142844939208,0.6534090909090909,0.9658822844294547,0.001217505006868859,0.9641732042918529,0.8452260897762163,0.0056216922951402406,0.8411465593361295
capsule,0.9610766045548654,0.006423782624276094,0.9544513457556936,0.8233954451345756,0.06837252736435111,0.7523809523809524,0.9860520162578885,0.00043321290520984527,0.9855425921228939,0.7920092819977308,0.004821539031036297,0.7855971109583603
carpet,1.0,0.0,1.0,0.9019607843137255,0.03636713135488509,0.8705882352941177,0.9906563281453938,0.000350227912105045,0.9902336355938349,0.9077910750032687,0.0316110950698703,0.8715068007110556
grid,0.9988020365378856,0.0008470880876748246,0.9982030548068284,0.8647798742138365,0.10053061234682883,0.7264150943396226,0.9913955934781624,0.0007906946108794015,0.9906534596099499,0.9193210045295254,0.03191427495268973,0.87507461485039
hazelnut,0.9977272727272727,0.0022302426430121157,0.9946969696969696,0.9419191919191919,0.0499974491748064,0.8712121212121212,0.9959419788197368,0.00016349716022205364,0.9957195036479708,0.9458618909910048,0.02100046348554023,0.916402504611519
leather,1.0,0.0,1.0,0.9507575757575758,0.04576911353634309,0.8863636363636364,0.9903020539754609,0.000811205079657512,0.9895021126947147,0.9275060457552626,0.022665437252853783,0.897714742036719
metal_nut,0.9996595165134491,0.0004815163644443788,0.9989785495403473,0.9438202247191011,0.05290055015664992,0.8707865168539326,0.9748895992729749,0.0007859986798380476,0.9737868034785814,0.9242965668221779,0.005881317230002037,0.9181667274756218
pill,0.9755755193711398,0.0026034863827893748,0.9719258843346434,0.8666479505895565,0.026829024877791745,0.8321167883211679,0.9681060552002801,0.0012513140500036541,0.9666016158330233,0.9227010471806332,0.027355786466616995,0.8870468606550164
screw,0.7975256274301873,0.03285502528883955,0.7698833510074231,0.729091551785083,0.03847038376440728,0.6841993637327677,0.9489390061254913,0.00994245845769424,0.9415921885066539,0.7839657682728037,0.015231176661924152,0.7686675832761704
tile,1.0,0.0,1.0,0.95,0.035355339059327355,0.9,0.9511179486438041,0.0006887030951212858,0.9501500475832737,0.8366812920623729,0.008118376057788911,0.8288471783153994
toothbrush,0.9946581196581197,0.003997497208091803,0.9903846153846154,0.9294871794871795,0.05514311068617067,0.8653846153846154,0.9929700896245718,0.00046553657265774025,0.9923191057411525,0.9160906658613357,0.010630868312353714,0.9013805830051479
transistor,0.962037037037037,0.006448327906103773,0.9532407407407407,0.8296296296296296,0.06805398083338128,0.7388888888888889,0.931017623718171,0.006699072474541173,0.9229554828778322,0.699071550229258,0.0260979174548464,0.6725431547475965
wood,0.9865288220551378,0.0024667944467455846,0.9830827067669172,0.9017857142857143,0.012626906806902642,0.8839285714285714,0.9407634968973095,0.007817557701131987,0.9297444003184988,0.8953688837408499,0.02359609407200188,0.8752024456163428
zipper,0.9942934782608697,0.0030502641740004608,0.9902173913043479,0.8797101449275362,0.04235257738029701,0.8217391304347825,0.934550019977917,0.0027676840886135135,0.930671422525561,0.7425902551932941,0.01053850750508719,0.7277864242177209
