category,num_query_total,num_query_normal,num_query_defect,image_auroc,image_ap,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,tp,tn,fp,fn,threshold,method,feature_source,candidate_name,coreset_ratio,knn_topk,subspace_dim,pixel_auroc,pro,num_support_train,num_support_holdout,num_support_defect,feature_cache_dir,feature_cache_written,cache_seconds,support_threshold_source,experiment,scope,seed
bottle,79,20,59,0.9983050847457627,0.9994302403523891,0.6455696202531646,1.0,0.5254237288135594,1.0,0.7627118644067796,0.688888888888889,31,48,31,20,0,28,0.3381393551826477,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9901975412503828,0.8912649124364148,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\bottle,12,1.098402976989746,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
cable,146,58,88,0.949255485893417,0.9741502709157601,0.7602739726027398,1.0,0.6022727272727273,1.0,0.8011363636363636,0.75177304964539,53,93,53,58,0,35,0.33369967341423035,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9669178258105918,0.8411465593361295,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\cable,15,3.3449950218200684,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
capsule,128,23,105,0.9544513457556936,0.9877842492058209,0.703125,0.9855072463768116,0.6476190476190476,0.9565217391304348,0.8020703933747413,0.7816091954022989,69,59,68,22,1,37,0.22273004055023193,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9860119819600575,0.7932069091874765,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\capsule,14,3.178675889968872,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
carpet,113,28,85,1.0,1.0,0.8053097345132744,1.0,0.7411764705882353,1.0,0.8705882352941177,0.8513513513513514,63,50,63,28,0,22,0.4131494164466858,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9906440952612128,0.948549148490596,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\carpet,14,3.05527400970459,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
grid,74,21,53,1.0,0.9999999999999999,0.8648648648648649,1.0,0.8113207547169812,1.0,0.9056603773584906,0.8958333333333334,43,31,43,21,0,10,0.440145343542099,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9924910394171753,0.87507461485039,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\grid,14,2.1551361083984375,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
hazelnut,106,40,66,0.9984848484848485,0.9991020831670525,0.9716981132075472,1.0,0.9545454545454546,1.0,0.9772727272727273,0.9767441860465117,63,43,63,40,0,3,0.30677318572998047,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9959986675233049,0.96385311994161,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\hazelnut,15,3.11114501953125,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
leather,120,32,88,1.0,1.0,0.8333333333333334,1.0,0.7727272727272727,1.0,0.8863636363636364,0.8717948717948718,68,52,68,32,0,20,0.37765827775001526,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9899898792778503,0.897714742036719,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\leather,13,2.7288777828216553,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
metal_nut,111,22,89,1.0,1.0,0.990990990990991,1.0,0.9887640449438202,1.0,0.9943820224719101,0.9943502824858756,88,23,88,22,0,1,0.25449347496032715,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9755617115602071,0.9322301249836719,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\metal_nut,13,1.8976223468780518,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
pill,163,26,137,0.9778214486243684,0.9954361708031226,0.8343558282208589,0.9824561403508771,0.8175182481751825,0.9230769230769231,0.8702975856260529,0.8924302788844622,114,49,112,24,2,25,0.21788063645362854,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9666016158330233,0.9535317098460369,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\pill,14,2.2728757858276367,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
screw,156,41,115,0.8436903499469777,0.8967049924655245,0.7307692307692307,0.9397590361445783,0.6782608695652174,0.8780487804878049,0.7781548250265111,0.7878787878787878,83,73,78,36,5,37,0.19288234412670135,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9629949446570499,0.7784825622054959,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\screw,13,1.9633052349090576,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,44
