category,num_query_total,num_query_normal,num_query_defect,image_auroc,image_ap,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,tp,tn,fp,fn,threshold,method,feature_source,candidate_name,coreset_ratio,knn_topk,defect_boost_weight,local_scale_neighbor_topk,support_consensus_topk,match_reweight_alpha,preproc_agreement_beta,subspace_dim,resize_mode,resize_patch_multiple,reference_bank_view,defect_bank_view,query_mask_mode,query_mask_policy,query_mask_active,rotation_policy,rotation_active,resolved_image_height,resolved_image_width,pixel_auroc,pro,num_support_train,num_support_holdout,num_support_defect,feature_cache_dir,feature_cache_written,cache_seconds,support_threshold_source,experiment,scope,seed
bottle,79,20,59,1.0,1.0,0.8734177215189873,1.0,0.8305084745762712,1.0,0.9152542372881356,0.9074074074074074,49,30,49,20,0,10,0.2961202561855316,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,True,category_list,False,448,448,0.9189995590790022,0.9049145000034183,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\bottle\base_official_mask_v1,0,1.5674223899841309,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
cable,146,58,88,0.9570924764890284,0.977170725282677,0.5821917808219178,1.0,0.3068181818181818,1.0,0.6534090909090909,0.46956521739130436,27,119,27,58,0,61,0.443010538816452,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,False,category_list,False,448,448,0.9665558231859194,0.9193920342048773,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\cable\base_official_mask_v1,0,5.959722518920898,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
capsule,128,23,105,0.968944099378882,0.992059176312047,0.5859375,1.0,0.49523809523809526,1.0,0.7476190476190476,0.6624203821656051,52,76,52,23,0,53,0.2671142816543579,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,True,category_list,False,448,448,0.9878670462259381,0.9752142750298317,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\capsule\base_official_mask_v1,0,10.067623853683472,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
carpet,113,28,85,1.0,1.0,0.8230088495575221,1.0,0.7647058823529411,1.0,0.8823529411764706,0.8666666666666666,65,48,65,28,0,20,0.3730938732624054,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,False,category_list,False,448,448,0.9902336355938349,0.9745682049512591,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\carpet\base_official_mask_v1,0,2.75748872756958,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
grid,74,21,53,0.9982030548068284,0.9993138936535162,0.9459459459459459,1.0,0.9245283018867925,1.0,0.9622641509433962,0.9607843137254902,49,25,49,21,0,4,0.3725128471851349,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,False,category_list,False,448,448,0.9906534596099499,0.9576015215874023,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\grid\base_official_mask_v1,0,1.472646713256836,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
hazelnut,106,40,66,1.0,1.0,0.9622641509433962,1.0,0.9393939393939394,1.0,0.9696969696969697,0.96875,62,44,62,40,0,4,0.30235978960990906,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,True,category_list,True,448,448,0.9958618499705932,0.9746595793379084,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\hazelnut\base_official_mask_v1,0,5.156932592391968,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
leather,120,32,88,1.0,1.0,0.9666666666666667,1.0,0.9545454545454546,1.0,0.9772727272727273,0.9767441860465117,84,36,84,32,0,4,0.3102274537086487,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,False,category_list,False,448,448,0.9914141699538176,0.9754484000228836,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\leather\base_official_mask_v1,0,1.1010198593139648,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
metal_nut,111,22,89,0.9989785495403474,0.9997530559328313,0.963963963963964,1.0,0.9550561797752809,1.0,0.9775280898876404,0.9770114942528736,85,26,85,22,0,4,0.2678946554660797,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,True,category_list,True,448,448,0.9742974815674628,0.9232278380574859,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\metal_nut\base_official_mask_v1,0,5.435060739517212,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
pill,163,26,137,0.976137001684447,0.9954760862019443,0.7177914110429447,1.0,0.6642335766423357,1.0,0.8321167883211679,0.7982456140350876,91,72,91,26,0,46,0.26414722204208374,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,True,category_list,False,448,448,0.9771462248625262,0.9739769852212851,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\pill\base_official_mask_v1,0,7.282681465148926,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
screw,156,41,115,0.8123011664899258,0.9206917102749216,0.6666666666666666,0.8888888888888888,0.6260869565217392,0.7804878048780488,0.703287380699894,0.7346938775510204,81,75,72,32,9,43,0.19945259392261505,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,True,category_list,True,448,448,0.9700038649677678,0.8900511555409074,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\screw\base_official_mask_v1,0,1.6112329959869385,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,full15,42
